Date,ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020/10/16,l871212,120 Spring Farm Rd,Spring Farm Rd,Bayview Wellington,Aurora,"$1,199,000",5 baths,4 beds,https://aurora.listing.ca/120-spring-farm-rd.N4937940.htm#9h-29
2020/10/16,l871210,26 Pattemore Gate,Pattemore Gate,Bayview Northeast,Aurora,"$1,199,900",3 baths,1+2 beds,https://aurora.listing.ca/26-pattemore-gate.N4937923.htm#9h-2a
2020/10/16,l871208,87 Maplefields Circ,Maplefields Circ,Aurora Estates,Aurora,"$1,598,990",5 baths,4 beds,https://aurora.listing.ca/87-maplefields-circ.N4937876.htm#9h-2b
2020/10/16,l870997,15925 Bayview Ave,Bayview Ave,Bayview Northeast,Aurora,"$664,900",3 baths,3 beds,https://aurora.listing.ca/15925-bayview-ave.N4938178.htm#9h-2c
2020/10/16,l870596,18 Ken Sinclair Cres,Ken Sinclair Cres,Aurora Estates,Aurora,"$1,470,000",4 baths,4+1 beds,https://aurora.listing.ca/18-ken-sinclair-cres.N4937257.htm#9h-2d
2020/10/16,l870187,200 Alex Gardner Circ 36,Alex Gardner Circ,Aurora Heights,Aurora,"$599,000",3 baths,2 beds,https://aurora.listing.ca/200-alex-gardner-circ-36.N4937143.htm#9h-2e
2020/10/16,l870089,12 Dawlish Ave,Dawlish Ave,Aurora Highlands,Aurora,"$1,188,000",4 baths,4+2 beds,https://aurora.listing.ca/12-dawlish-ave.N4936864.htm#9h-2f
2020/10/16,l869445,500 Alex Gardner Circ 90,Alex Gardner Circ,Aurora Heights,Aurora,"$788,000",3 baths,2 beds,https://aurora.listing.ca/500-alex-gardner-circ-90.N4936653.htm#9h-2g
2020/10/16,l869032,110 Elyse Crt,Elyse Crt,Bayview Northeast,Aurora,"$999,000",3 baths,4 beds,https://aurora.listing.ca/110-elyse-crt.N4935836.htm#9h-2h
2020/10/16,l869020,53 Twelve Oaks Dr,Twelve Oaks Dr,Aurora Village,Aurora,"$1,048,000",3 baths,4+1 beds,https://aurora.listing.ca/53-twelve-oaks-dr.N4935716.htm#9h-2i
