ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l884636,79 Don Head Village Blvd,Don Head Village Blvd,North Richvale,Richmond Hill,$1099999,3 baths,3+1 beds,https://richmond-hill.listing.ca/79-don-head-village-blvd.N4954070.htm#1-1f
2020-10-17,l884620,164 Lucas St,Lucas St,Mill Pond,Richmond Hill,$999800,2 baths,2+1 beds,https://richmond-hill.listing.ca/164-lucas-st.N4954272.htm#1-1g
2020-10-17,l884552,11 Springer Dr,Springer Dr,Westbrook,Richmond Hill,$999000,3 baths,3+1 beds,https://richmond-hill.listing.ca/11-springer-dr.N4954361.htm#1-1h
2020-10-17,l884545,187 Selwyn Rd,Selwyn Rd,Jefferson,Richmond Hill,$1399000,5 baths,4+1 beds,https://richmond-hill.listing.ca/187-selwyn-rd.N4954408.htm#1-1i
2020-10-17,l884505,33 Moray Ave,Moray Ave,Oak Ridges Lake Wilcox,Richmond Hill,$2799000,7 baths,4+1 beds,https://richmond-hill.listing.ca/33-moray-ave.N4954417.htm#1-1j
2020-10-17,l884433,9205 Yonge St Ne2001,Yonge St,Langstaff,Richmond Hill,$509990,1 baths,1+1 beds,https://richmond-hill.listing.ca/9205-yonge-st-ne2001.N4954313.htm#1-1k
2020-10-17,l884310,396 Highway 7 Rd 201,Highway 7 Rd,Doncrest,Richmond Hill,$499000,1 baths,1 beds,https://richmond-hill.listing.ca/396-highway-7-rd-201.N4954456.htm#1-1l
2020-10-17,l884247,9608 Yonge St 510A,Yonge St,North Richvale,Richmond Hill,$795900,2 baths,2 beds,https://richmond-hill.listing.ca/9608-yonge-st-510a.N4954346.htm#1-1m
2020-10-17,l884240,73 King William Cres Lph02,King William Cres,Langstaff,Richmond Hill,$498000,1 baths,2 beds,https://richmond-hill.listing.ca/73-king-william-cres-lph02.N4954082.htm#1-1n
2020-10-17,l884208,9199 Yonge St 904,Yonge St,Langstaff,Richmond Hill,$469000,1 baths,1 beds,https://richmond-hill.listing.ca/9199-yonge-st-904.N4954690.htm#1-1o
2020-10-17,l884141,73 Bridlepath St,Bridlepath St,Rouge Woods,Richmond Hill,$1198000,4 baths,4 beds,https://richmond-hill.listing.ca/73-bridlepath-st.N4953926.htm#1-1p
2020-10-17,l884100,309 Major Mackenzie Dr 503,Major Mackenzie Dr,Harding,Richmond Hill,$588888,2 baths,2+1 beds,https://richmond-hill.listing.ca/309-major-mackenzie-dr-503.N4953914.htm#1-1q
2020-10-17,l884098,75 Norman Bethune Ave 105,Norman Bethune Ave,Beaver Creek Business Park,Richmond Hill,$399000,1 baths,1 beds,https://richmond-hill.listing.ca/75-norman-bethune-ave-105.N4953881.htm#1-1r
2020-10-17,l884020,141 Jefferson Forest Dr,Jefferson Forest Dr,Jefferson,Richmond Hill,$1488800,3 baths,4 beds,https://richmond-hill.listing.ca/141-jefferson-forest-dr.N4953735.htm#1-1s
2020-10-17,l884017,54 Walnut Grove Cres,Walnut Grove Cres,Rouge Woods,Richmond Hill,$1699000,5 baths,4+2 beds,https://richmond-hill.listing.ca/54-walnut-grove-cres.N4953712.htm#1-1t
2020-10-17,l884016,84 Eagle Peak Dr,Eagle Peak Dr,Westbrook,Richmond Hill,$1299000,4 baths,4+1 beds,https://richmond-hill.listing.ca/84-eagle-peak-dr.N4953701.htm#1-1u
2020-10-17,l883942,185 Oneida Cres 211,Oneida Cres,Langstaff,Richmond Hill,$479900,1 baths,1+1 beds,https://richmond-hill.listing.ca/185-oneida-cres-211.N4953772.htm#1-1v
2020-10-17,l883666,122 Brightsview Dr,Brightsview Dr,Oak Ridges,Richmond Hill,$998000,3 baths,4 beds,https://richmond-hill.listing.ca/122-brightsview-dr.N4953202.htm#1-1w
2020-10-17,l883653,49 Marsh St,Marsh St,North Richvale,Richmond Hill,$1358000,3 baths,4 beds,https://richmond-hill.listing.ca/49-marsh-st.N4952877.htm#1-1x
2020-10-17,l883651,64 Larratt Lane,Larratt Lane,Westbrook,Richmond Hill,$1429900,4 baths,4+1 beds,https://richmond-hill.listing.ca/64-larratt-lane.N4952828.htm#1-1y
2020-10-17,l883396,59 Loredana Crt,Loredana Crt,Langstaff,Richmond Hill,$1269000,4 baths,3+1 beds,https://richmond-hill.listing.ca/59-loredana-crt.N4952403.htm#1-1z
2020-10-17,l883394,147 Laverock Ave,Laverock Ave,Mill Pond,Richmond Hill,$1088000,2 baths,3+2 beds,https://richmond-hill.listing.ca/147-laverock-ave.N4952385.htm#1-20
2020-10-17,l883380,95 Mccallum Dr,Mccallum Dr,North Richvale,Richmond Hill,$1250000,4 baths,4 beds,https://richmond-hill.listing.ca/95-mccallum-dr.N4952146.htm#1-21
2020-10-17,l883200,1 Bond Cres 212,Bond Cres,Oak Ridges,Richmond Hill,$820990,3 baths,2 beds,https://richmond-hill.listing.ca/1-bond-cres-212.N4953435.htm#1-22
2020-10-17,l883190,8763 Bayview Ave 618,Bayview Ave,Bayview Hill,Richmond Hill,$437700,1 baths,1 beds,https://richmond-hill.listing.ca/8763-bayview-ave-618.N4953319.htm#1-23
2020-10-17,l883182,40 Harding Blvd 910,Harding Blvd,Harding,Richmond Hill,$585000,2 baths,2+1 beds,https://richmond-hill.listing.ca/40-harding-blvd-910.N4953183.htm#1-24
2020-10-17,l882863,9191 Yonge St 702,Yonge St,Langstaff,Richmond Hill,$537700,1 baths,1+1 beds,https://richmond-hill.listing.ca/9191-yonge-st-702.N4952585.htm#1-25
2020-10-17,l882851,19 Northern Heights Dr 108,Northern Heights Dr,Langstaff,Richmond Hill,$518000,2 baths,2 beds,https://richmond-hill.listing.ca/19-northern-heights-dr-108.N4952320.htm#1-26
2020-10-17,l882841,11611 Yonge St 520,Yonge St,Jefferson,Richmond Hill,$638000,2 baths,2+1 beds,https://richmond-hill.listing.ca/11611-yonge-st-520.N4952155.htm#1-27
2020-10-17,l882614,12 Ferris St,Ferris St,Langstaff,Richmond Hill,$899000,3 baths,3 beds,https://richmond-hill.listing.ca/12-ferris-st.N4952045.htm#1-28
2020-10-17,l882501,72 Cedar Springs Dr,Cedar Springs Dr,Westbrook,Richmond Hill,$1390000,4 baths,3+1 beds,https://richmond-hill.listing.ca/72-cedar-springs-dr.N4951918.htm#1-29
2020-10-17,l882498,340 Browndale Cres,Browndale Cres,Crosby,Richmond Hill,$728000,2 baths,3 beds,https://richmond-hill.listing.ca/340-browndale-cres.N4951863.htm#1-2a
2020-10-17,l882294,17 Marigold Crt,Marigold Crt,Westbrook,Richmond Hill,$599000,2 baths,3 beds,https://richmond-hill.listing.ca/17-marigold-crt.N4951625.htm#1-2b
